0,0,16
0,3,17
0,4,10
0,6,13
0,13,11
1,5,12
1,10,14
1,12,13
2,2,20
2,5,13
2,6,15
2,9,13
2,11,15
3,0,16
3,6,14
3,11,20
4,5,11
4,6,20
4,7,10
5,1,18
5,5,17
5,7,10
5,10,20
5,11,14
6,2,19
6,10,15
6,11,16
7,4,5
7,6,14
7,8,16
8,0,15
8,1,11
8,3,16
8,7,17
8,8,20
9,3,17
9,8,19
9,11,18
10,0,16
10,5,15
10,6,11
10,7,10
10,11,10
11,3,12
11,8,15
11,11,11
12,0,11
12,1,14
12,2,17
12,3,12
12,6,14
12,9,16
12,12,17
13,5,16
13,8,17
13,13,12
13,14,16
14,7,10
14,11,19
14,12,16
15,0,20
15,2,18
15,4,13
15,6,10
15,14,17
16,4,13
16,7,18
16,8,20
16,9,18
16,11,14
17,0,17
17,3,16
17,14,12
18,1,13
18,3,12
18,7,10
18,9,10
18,11,15
19,0,17
19,6,12
19,8,11
19,9,11
